aba,linha,campo,antes,depois,motivo
01_CONFIG_GLOBAL,14,C14,None,0.2082,taxa MP unificada
02_SOHIPREN,6,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,7,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,8,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,9,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,10,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,11,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,12,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,13,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,14,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,15,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,16,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,17,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,18,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,19,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,20,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,21,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,22,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,23,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,24,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,25,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,26,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,27,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,28,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,29,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,30,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,31,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,32,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,33,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,34,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,35,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,36,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,37,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,38,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,39,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
02_SOHIPREN,40,taxa,"""='01_CONFIG_GLOBAL'!$C$4""","""='01_CONFIG_GLOBAL'!$C$14""",ref. única CONFIG!C14
