aba,linha,sku,sku_shopify,tipo,kit_n,caixa,peso_kg,invoice,cotacoes,escolhida,frete_antigo,frete_novo,obs
04_GRECO,6,GR141207,GR141207,unit,1,58.0x40.0x26.5,2.21,4100.0,Correios PAC: R$77.00 (7d) | Jadlog Jadlog Package: R$87.18 (8d) | Correios Sedex: R$124.34 (3d),Correios PAC,96.0,77.0,
04_GRECO,7,GR141165,GR141165,unit,1,58.0x40.0x26.5,0.5,890.0,Jadlog Jadlog Package: R$60.69 (8d) | Correios PAC: R$77.00 (7d) | Correios Sedex: R$124.34 (3d),Jadlog Jadlog Package,96.0,60.69,
04_GRECO,8,GR140990,GR140990,unit,1,58.0x40.0x26.5,4.5,1097.0,Jadlog Jadlog Package: R$62.40 (8d) | Correios PAC: R$77.00 (7d) | Correios Sedex: R$124.34 (3d),Jadlog Jadlog Package,96.0,62.4,
04_GRECO,9,GR140682,GR140682,unit,1,31.0x24.0x25.0,0.42,590.0,Jadlog Jadlog Package: R$29.27 (8d) | Correios PAC: R$39.11 (7d) | Correios Sedex: R$66.02 (3d),Jadlog Jadlog Package,96.0,29.27,
04_GRECO,10,GR140012,GR140012,unit,1,31.0x24.0x25.0,0.489,490.0,Jadlog Jadlog Package: R$28.45 (8d) | Correios PAC: R$39.11 (7d) | Correios Sedex: R$66.02 (3d),Jadlog Jadlog Package,96.0,28.45,
04_GRECO,11,GR142398,GR142398,unit,1,31.0x24.0x25.0,1.642,7700.0,Correios PAC: R$39.11 (7d) | Correios Sedex: R$66.02 (3d) | Jadlog Jadlog Package: R$87.92 (8d),Correios PAC,96.0,39.11,
04_GRECO,12,GR142226,GR142226,unit,1,31.0x24.0x25.0,0.33,290.0,Jadlog Jadlog Package: R$26.80 (8d) | Correios PAC: R$39.11 (7d) | Correios Sedex: R$66.02 (3d),Jadlog Jadlog Package,96.0,26.8,
04_GRECO,13,GR142227,GR142227,unit,1,31.0x24.0x25.0,0.29,310.0,Jadlog Jadlog Package: R$26.96 (8d) | Correios PAC: R$39.11 (7d) | Correios Sedex: R$66.02 (3d),Jadlog Jadlog Package,96.0,26.96,
04_GRECO,14,GR142228,GR142228,unit,1,31.0x24.0x25.0,0.56,360.0,Jadlog Jadlog Package: R$27.37 (8d) | Correios PAC: R$39.11 (7d) | Correios Sedex: R$66.02 (3d),Jadlog Jadlog Package,96.0,27.37,
04_GRECO,15,GR142229,GR142229,unit,1,31.0x24.0x25.0,0.011,140.0,Jadlog Jadlog Package: R$25.55 (8d) | Correios PAC: R$39.11 (7d) | Correios Sedex: R$66.02 (3d),Jadlog Jadlog Package,96.0,25.55,
03_AGCO,6,ACX3266690,ACX3266690,unit,1,12.0x3.0x6.0,0.36,100.96,Jadlog Jadlog Package: R$16.75 (8d) | Correios PAC: R$21.05 (7d) | Correios Sedex: R$39.42 (3d),Jadlog Jadlog Package,19.1,16.75,
03_AGCO,7,ACW0551840,ACW0551840,rateio caixa 25,1,50.0x7.0x4.5,3.5,9.15,Jadlog Jadlog Package: R$25.22 (8d) | Correios PAC: R$39.11 (7d) | Correios Sedex: R$66.02 (3d),Jadlog Jadlog Package → R$951.75/25,18.5,38.07,
03_AGCO,8,ACW0551840,ACW0551840-KIT25,kit,25,50.0x25.0x50.0,87.5,228.75,Jadlog Jadlog Package: R$951.75 (8d),Jadlog Jadlog Package,,951.75,
03_AGCO,9,ACX2865730,ACX2865730-KIT60,kit,60,35.0x43.0x50.0,22.4,10.02,Jadlog Jadlog Package: R$105.71 (8d) | Correios PAC: R$178.88 (7d) | Correios Sedex: R$288.98 (3d),Jadlog Jadlog Package,142.0,105.71,
