acao,aba,linha,sku_shopify,titulo_novo,custo,frete,marg,preco_novo,preco_site,delta_pct,body_site_len
update,02_SOHIPREN,13,5.1621.0680005.0,MLR 160 C3.C2.P5 — 5.1621.0680005.0,767.55,100.0,0.2,1369.59,1369.59,0.0,838
update,02_SOHIPREN,14,5.1302.0565122.0,BOMBA APLICACION MF A-028 (ACX5148180) GIRO I (PROTOTIPO) — 5.1302.0565122.0,1096.5,100.0,0.2,1888.89,1888.89,0.0,970
update,02_SOHIPREN,15,5.1302.0565120.0,MOTOR APLICACION MF A-026 (ACX4630870) GIRO D — 5.1302.0565120.0,1147.5,100.0,0.2,1969.41,1969.41,0.0,958
update,02_SOHIPREN,17,5.0220.0548836.0,Bomba de Direção Massey Ferguson 194-4F/362/365/372/390,1207.0,100.0,0.2,2063.34,2063.34,0.0,1314
update,02_SOHIPREN,18,5.0220.0548817.0,Bomba Hidráulica Massey Ferguson 283/290/292/L5000 — Direção e Levante,913.75,100.0,0.2,1600.39,1600.39,0.0,977
update,02_SOHIPREN,19,5.1302.0565053.0,Bomba Hidráulica Massey Ferguson MF A-016 — Trator 4299,1632.0,100.0,0.2,2734.28,2734.28,0.0,1227
update,02_SOHIPREN,22,5.0220.0548824.0,Bomba Hidráulica Dupla Valtra-Valmet BH160,1130.5,100.0,0.2,1942.57,1942.57,0.0,1217
update,02_SOHIPREN,23,5.0220.0548917.0,BOI 16 E2.B8.B2/14 B2.L (PLACA H15) — 5.0220.0548917.0,1130.5,100.0,0.2,1942.57,1942.57,0.0,955
update,02_SOHIPREN,24,5.0220.L026997.0,"BOI 22,5 E2.B8.B112/16.B4/16.B4.L — 5.0220.L026997.0",1759.5,100.0,0.2,2935.56,2935.56,0.0,939
update,02_SOHIPREN,25,5.0220.0547201.0,Bomba Hidráulica Principal Valtra-Valmet 885/985/1280,1130.5,100.0,0.2,1942.57,1942.57,0.0,1331
update,02_SOHIPREN,26,5.0220.0547202.0,Bomba Hidráulica Valtra-Valmet 62/65/68/85/86/88/78EL — Principal,1038.7,100.0,0.2,1797.64,1797.64,0.0,946
update,02_SOHIPREN,34,5.0220.0547205.0,Bomba Hidráulica Principal Valtra-Valmet 880/980/1780,1043.8,100.0,0.2,1805.7,1805.7,0.0,1246
update,02_SOHIPREN,189,5.5211.L026234.0,MRBO 26 B100.C.C43.L10 — 5.5211.L026234.0,686.8,100.0,0.2,1242.11,1242.11,0.0,934
update,02_SOHIPREN,195,5.5210.L011190.0,"MUI BO 22,5 B101.C106.C105.M105 — 5.5210.L011190.0",636.65,100.0,0.2,1162.94,1162.94,0.0,962
update,02_SOHIPREN,233,5.0220.0548911.0,BOI 19 E5.P.B2/14 B2.L (AMBOS CPOS INVERTIDOS) — 5.0220.0548911.0,1028.5,100.0,0.2,1781.54,1781.54,0.0,918
update,02_SOHIPREN,243,5.0211.L026819.0,BOI 26 E18.C22.A119.D6 - 25-180 BAR — 5.0211.L026819.0,807.5,100.0,0.2,1432.65,1432.65,0.0,854
update,02_SOHIPREN,244,5.0211.L026849.0,BOI 26 E18.C22.A119.D11- 25-000 BAR (NEW HOLLAND) — 5.0211.L026849.0,748.0,100.0,0.2,1338.72,1338.72,0.0,944
update,02_SOHIPREN,252,5.0211.L027018.0,BOI 25 B107.B20.B118.L — 5.0211.L027018.0,636.65,100.0,0.2,1162.94,1162.94,0.0,899
update,02_SOHIPREN,256,5.1301.0565055.0,BOMBA APLICACION CNH A-048 (47441313) GIRO I (PROTOTIPO) — 5.1301.0565055.0,2518.55,100.0,0.2,4133.86,4133.86,0.0,935
update,02_SOHIPREN,259,5.1301.0565054.0,BOMBA APLICACION CNH A-047 (47439228) GIRO D (PROTOTIPO) — 5.1301.0565054.0,2363.0,100.0,0.2,3888.29,3888.29,0.0,967
update,02_SOHIPREN,266,5.1301.0565008.0,Bomba Hidráulica Ford New Holland CNH A-008 — Série TB/TS,2392.75,100.0,0.2,3935.26,3935.26,0.0,1400
update,02_SOHIPREN,269,5.1301.0565017.0,Bomba Hidráulica Ford New Holland CNH A-017 — Série TS6000,2392.75,100.0,0.2,3935.26,3935.26,0.0,1311
update,02_SOHIPREN,273,5.1301.0565004.0,Bomba Hidráulica Ford New Holland CNH A-004 — 340/2910/3930/4630,1585.25,100.0,0.2,2660.47,2660.47,0.0,1381
update,02_SOHIPREN,274,5.1301.0565001.0,Bomba Hidráulica Ford New Holland CNH A-001 - 5600/6600/7600/7700,1585.25,100.0,0.2,2660.47,2660.47,0.0,1191
update,02_SOHIPREN,275,5.1301.0565002.0,Bomba Hidráulica Principal Ford New Holland CNH A-002 — 5610/7610/7810,1585.25,100.0,0.2,2660.47,2660.47,0.0,1376
update,02_SOHIPREN,278,5.1301.0565035.0,Bomba Hidráulica New Holland CNH A-024 — Série T6,2545.75,100.0,0.2,4176.8,4176.8,0.0,1248
update,02_SOHIPREN,281,5.1301.0565029.0,Bomba Hidráulica New Holland TC57 — Colhedeira CNH A-020,1687.25,100.0,0.2,2821.5,2821.5,0.0,878
update,02_SOHIPREN,284,5.0210.L026250.0,BOI 16  B15.B14.A14.D5  24-150 BAR — 5.0210.L026250.0,786.25,100.0,0.2,1399.11,1399.11,0.0,975
update,02_SOHIPREN,285,5.0209.L026780.0,BOI 19 B15.B14.B19.D5 - 24-150 BAR — 5.0209.L026780.0,760.75,100.0,0.2,1358.85,1358.85,0.0,969
update,02_SOHIPREN,666,5.1621.0670036.1,MOTOR MLSW 395 - JOHN DEERE CB11480557 — 5.1621.0670036.1,1519.38,100.0,0.2,2556.49,2556.49,0.0,945
update,02_SOHIPREN,667,5.1621.0670037.1,MOTOR MLSW 80  - JOHN DEERE CB11480555 — 5.1621.0670037.1,1287.5,100.0,0.2,2190.42,2190.42,0.0,866
update,02_SOHIPREN,668,5.1621.0670038.1,MOTOR MLSW 305 - JOHN DEERE CB11480558 — 5.1621.0670038.1,1465.15,100.0,0.2,2470.87,2470.87,0.0,867
update,02_SOHIPREN,669,5.1621.0670039.1,MOTOR MLSW 395 - JOHN DEERE CB11480559 — 5.1621.0670039.1,1470.5,100.0,0.2,2479.32,2479.32,0.0,852
update,02_SOHIPREN,670,5.1621.0670040.1,MOTOR MLSW 495 - JOHN DEERE CB11480560 — 5.1621.0670040.1,1538.5,100.0,0.2,2586.67,2586.67,0.0,852
update,02_SOHIPREN,672,5.1305.0565077.0,Bomba Hidráulica John Deere A-005 — Série 5000/5010/5020/6000,1752.7,100.0,0.2,2924.82,2924.82,0.0,977
update,02_SOHIPREN,673,5.1305.0565071.0,Bomba Hidráulica Direção e Levante John Deere A-004 — Série 5000/6000,1827.5,100.0,0.2,3042.91,3042.91,0.0,1465
update,02_SOHIPREN,675,5.1305.0565094.0,BOMBA DE APLICACION JD A-008 (DQ33772) GIRO D (PROTOTIPO) — 5.1305.0565094.0,731.0,100.0,0.2,1311.88,1311.88,0.0,951
update,02_SOHIPREN,676,5.1305.0565036.0,Bomba Hidráulica Principal John Deere A-003 — Série 6000,856.8,100.0,0.2,1510.48,1510.48,0.0,1321
update,02_SOHIPREN,677,5.1305.0565032.0,BOMBA APLICACION JD A-001 (RE223233) GIRO I — 5.1305.0565032.0,1305.6,100.0,0.2,2218.99,2218.99,0.0,954
update,02_SOHIPREN,697,5.1305.0565115.0,BOMBA APLICACION JD (AL200830) GIRO D — 5.1305.0565115.0,1346.4,100.0,0.2,2283.4,2283.4,0.0,904
update,02_SOHIPREN,776,5.1302.0565086.0,BOMBA APLICACIÓN MF A-021 (ACX3124760) GIRO I — 5.1302.0565086.0,1104.15,100.0,0.2,1900.97,1900.97,0.0,951
update,02_SOHIPREN,777,5.1302.0565087.0,BOMBA APLICACIÓN MF A-022 (ACX3124770) GIRO I — 5.1302.0565087.0,1104.15,100.0,0.2,1900.97,1900.97,0.0,951
update,02_SOHIPREN,778,5.1302.0565088.0,BOMBA APLICACIÓN MF A-601 (ACX3125900) GIRO I — 5.1302.0565088.0,1104.15,100.0,0.2,1900.97,1900.97,0.0,950
update,02_SOHIPREN,779,5.1302.0565089.0,BOMBA APLICACIÓN MF A-024 (ACX3125910) GIRO I — 5.1302.0565089.0,1104.15,100.0,0.2,1900.97,1900.97,0.0,953
update,02_SOHIPREN,782,5.1302.L027041.0,BOMBA APLICACION MF-AX (ACW6839870) GIRO I — 5.1302.L027041.0,1104.15,100.0,0.2,1900.97,1900.97,0.0,966
update,02_SOHIPREN,786,5.0220.0547207.0,Bomba Hidráulica Massey Ferguson MF290/292 4x4 — Principal e Direção,1130.5,100.0,0.2,1942.57,1942.57,0.0,1017
update,02_SOHIPREN,787,5.0220.0547216.0,Bomba Hidráulica Massey Ferguson 296-4/297-4/299-4 — Principal,1474.75,100.0,0.2,2486.03,2486.03,0.0,908
update,02_SOHIPREN,792,5.1302.0547844.0,Bomba Hidráulica Massey Ferguson MF A-004 — 4215/4220/4235/4255,1177.25,100.0,0.2,2016.37,2016.37,0.0,1150
update,02_SOHIPREN,794,5.1302.0547820.0,Bomba Hidráulica Massey Ferguson MF A-013 — Direção e Levante 3000/6000,1215.5,100.0,0.2,2076.76,2076.76,0.0,1471
update,02_SOHIPREN,808,5.0203.0540803.0,Bomba Hidráulica Massey Ferguson MF85X/185/275/285/290 — Direção,807.5,100.0,0.2,1432.65,1432.65,0.0,1024
update,02_SOHIPREN,975,5.0220.L025598.0,BOI 26 E2.B8.B110/16.B2.L — 5.0220.L025598.0,1228.25,100.0,0.2,2096.88,2096.88,0.0,917
update,02_SOHIPREN,980,5.0220.0547206.0,Bomba Hidráulica Principal Valtra-Valmet 118ES/128/138/148,1130.5,100.0,0.2,1942.57,1942.57,0.0,1263
update,04_GRECO,6,GR141207,GPS Agrícola GR200 — Greco Agro Tech | Navegação de Precisão,4100.0,77.0,0.2,6594.15,6594.15,0.0,897
update,04_GRECO,7,GR141165,Kit de Iluminação Noturna Pulverização — Greco Agro Tech,890.0,60.69,0.2,1500.84,1500.84,0.0,732
update,04_GRECO,8,GR140990,Kit Ponta de Cerca — Greco Agro Tech,1097.0,62.4,0.2,1830.32,1830.32,0.0,556
update,04_GRECO,9,GR140682,Sensor de Levante Haste — Greco Agro Tech | Precision Planting PM400,590.0,29.27,0.2,977.63,977.63,0.0,667
update,04_GRECO,10,GR140012,Sensor de Levante Corrente — Greco Agro Tech | Precision Planting PM400,490.0,28.45,0.2,818.47,818.47,0.0,637
update,04_GRECO,11,GR142398,Monitor de Fluxo de Sementes GR500 — Greco Agro Tech,7700.0,39.11,0.2,12217.59,12217.59,0.0,765
update,04_GRECO,12,GR142226,"Sensor de Fluxo 25,4mm — Greco Agro Tech | Precision Planting PM400",290.0,26.8,0.2,500.13,500.13,0.0,584
update,04_GRECO,13,GR142227,Sensor de Fluxo 32mm — Greco Agro Tech | Precision Planting PM400,310.0,26.96,0.2,531.95,531.95,0.0,588
update,04_GRECO,14,GR142228,"Sensor de Fluxo 50,8mm — Greco Agro Tech | Precision Planting PM400",360.0,27.37,0.2,611.53,611.53,0.0,589
update,04_GRECO,15,GR142229,Sensor de Semente — Greco Agro Tech | Precision Planting PM400,140.0,25.55,0.2,261.35,261.35,0.0,611
update,03_AGCO,6,ACX3266690,Suporte do Dosador — AGCO ACX3266690 | Plantadeira Momentum,100.96,16.75,0.2,185.83,185.83,0.0,971
update,03_AGCO,7,ACW0551840,Condutor de Sementes para Sensor — AGCO ACW0551840,9.15,2.21,0.2,17.93,17.93,0.0,1010
update,03_AGCO,8,ACW0551840-KIT25,Condutor Sementes P/sensor — Kit 25 Unidades — AGCO ACW0551840,228.75,55.23,0.2,448.31,448.31,0.0,975
update,03_AGCO,9,ACX2865730-KIT60,Tampa do Modulo SRM — Kit 60 Unidades — AGCO ACX2865730,601.1999999999999,105.71,0.2,1115.99,1115.99,0.0,961
