resultado,sku,detalhe
update-ok,5.1621.0680005.0,R$1369.59
update-ok,5.1302.0565122.0,R$1888.89
update-ok,5.1302.0565120.0,R$1969.41
update-ok,5.0220.0548836.0,R$2063.34
update-ok,5.0220.0548817.0,R$1600.39
update-ok,5.1302.0565053.0,R$2734.28
update-ok,5.0220.0548824.0,R$1942.57
update-ok,5.0220.0548917.0,R$1942.57
update-ok,5.0220.L026997.0,R$2935.56
update-ok,5.0220.0547201.0,R$1942.57
update-ok,5.0220.0547202.0,R$1797.64
update-ok,5.0220.0547205.0,R$1805.70
update-ok,5.5211.L026234.0,R$1242.11
update-ok,5.5210.L011190.0,R$1162.94
update-ok,5.0220.0548911.0,R$1781.54
update-ok,5.0211.L026819.0,R$1432.65
update-ok,5.0211.L026849.0,R$1338.72
update-ok,5.0211.L027018.0,R$1162.94
update-ok,5.1301.0565055.0,R$4133.86
update-ok,5.1301.0565054.0,R$3888.29
update-ok,5.1301.0565008.0,R$3935.26
update-ok,5.1301.0565017.0,R$3935.26
update-ok,5.1301.0565004.0,R$2660.47
update-ok,5.1301.0565001.0,R$2660.47
update-ok,5.1301.0565002.0,R$2660.47
update-ok,5.1301.0565035.0,R$4176.80
update-ok,5.1301.0565029.0,R$2821.50
update-ok,5.0210.L026250.0,R$1399.11
update-ok,5.0209.L026780.0,R$1358.85
update-ok,5.1621.0670036.1,R$2556.49
update-ok,5.1621.0670037.1,R$2190.42
update-ok,5.1621.0670038.1,R$2470.87
update-ok,5.1621.0670039.1,R$2479.32
update-ok,5.1621.0670040.1,R$2586.67
update-ok,5.1305.0565077.0,R$2924.82
update-ok,5.1305.0565071.0,R$3042.91
update-ok,5.1305.0565094.0,R$1311.88
update-ok,5.1305.0565036.0,R$1510.48
update-ok,5.1305.0565032.0,R$2218.99
update-ok,5.1305.0565115.0,R$2283.40
update-ok,5.1302.0565086.0,R$1900.97
update-ok,5.1302.0565087.0,R$1900.97
update-ok,5.1302.0565088.0,R$1900.97
update-ok,5.1302.0565089.0,R$1900.97
update-ok,5.1302.L027041.0,R$1900.97
update-ok,5.0220.0547207.0,R$1942.57
update-ok,5.0220.0547216.0,R$2486.03
update-ok,5.1302.0547844.0,R$2016.37
update-ok,5.1302.0547820.0,R$2076.76
update-ok,5.0203.0540803.0,R$1432.65
update-ok,5.0220.L025598.0,R$2096.88
update-ok,5.0220.0547206.0,R$1942.57
update-ok,GR141207,R$6594.15
update-ok,GR141165,R$1500.84
update-ok,GR140990,R$1830.32
update-ok,GR140682,R$977.63
update-ok,GR140012,R$818.47
update-ok,GR142398,R$12217.59
update-ok,GR142226,R$500.13
update-ok,GR142227,R$531.95
update-ok,GR142228,R$611.53
update-ok,GR142229,R$261.35
update-ok,ACX3266690,R$185.83
update-ok,ACW0551840,R$17.93
update-ok,ACX3454710,R$119.66
update-ok,4383927M4,R$34.87
update-ok,ACX283890A,R$35.08
update-ok,ACX310603A,R$7.92
update-ok,4383923M4,R$58.02
update-ok,ACX363311C,R$14.74
update-ok,ACX363311B,R$14.74
update-ok,ACX2414460,R$16.42
update-ok,ACX3371800,R$11.13
update-ok,7038105M1,R$7.06
update-ok,7038106M1,R$7.06
update-ok,ACX5458940,R$16.50
update-ok,ACX3601860,R$16.18
update-ok,4383933M4,R$34.87
update-ok,4383934M4,R$34.87
update-ok,ACX3473430,R$9.66
update-ok,ACX329796A,R$193.42
update-ok,33070004,R$14.38
update-ok,H-102724,R$9.98
update-ok,H-169914,R$10.03
update-ok,H-175727,R$5.90
update-ok,N276747,R$19.77
update-ok,A56254,R$159.96
update-ok,CQ59313,R$80.99
update-ok,CQ65827,R$10.93
update-ok,CQ54137,R$10.27
update-ok,AA67780,R$41.48
update-ok,A75169,R$9.08
update-ok,A71321,R$9.27
update-ok,A72758,R$10.88
update-ok,A78269,R$414.75
update-ok,A74430,R$30.74
update-ok,6424-4005,R$8.05
update-ok,8031-4009,R$419.51
update-ok,6424-4028,R$13.08
update-ok,6424-4026,R$8.09
update-ok,8031-4010,R$402.63
update-ok,6117-4142,R$3.34
update-ok,8031-4008,R$44.43
update-ok,6424-4013,R$21.95
update-ok,IPCX03009065,R$3.06
update-ok,IPCX03009064,R$3.06
update-ok,IPCX05009034,R$5.81
update-ok,IPCX03006056,R$6.92
update-ok,IPCX03006047,R$7.31
