acao,tiny_id,tiny_codigo,tiny_nome,tipo,preco_tiny,preco_novo,custo_novo,sku_planilha,aba
alterar,349112148,5.1302.0565120.0,MOTOR APLICACION MF A-026 (ACX4630870) GIRO D - 5.1302.05651,N,2250.75,1969.41,1147.5,5.1302.0565120.0,02_SOHIPREN
alterar,334772995,5.0220.0548836,Bomba de Direção Massey Ferguson 194-4F/362/365/372/390 - Pa,V,2358.1,2063.34,1207.0,5.0220.0548836.0,02_SOHIPREN
alterar,334773084,5.0220.0548817,Bomba Hidráulica Massey Ferguson 283/290/292/L5000 - Direção,N,1829.02,1600.39,913.75,5.0220.0548817.0,02_SOHIPREN
alterar,334772856,5.1302.0565053,Bomba Hidráulica Massey Ferguson MF A-016 - Trator 4299 - Pa,V,3124.89,2734.28,1632.0,5.1302.0565053.0,02_SOHIPREN
alterar,334771752,5.0220.0548824-2,Bomba Hidráulica Dupla Valtra-Valmet BH160 - Padrão,V,2220.08,1942.57,1130.5,5.0220.0548824.0,02_SOHIPREN
alterar,349112152,5.0220.0548917.0,BOI 16 E2.B8.B2/14 B2.L (PLACA H15) - 5.0220.0548917.0,N,2220.08,1942.57,1130.5,5.0220.0548917.0,02_SOHIPREN
alterar,349112156,5.0220.L026997.0,"BOI 22,5 E2.B8.B112/16.B4/16.B4.L - 5.0220.L026997.0",N,3354.93,2935.56,1759.5,5.0220.L026997.0,02_SOHIPREN
alterar,334772687,5.0220.0547201,Bomba Hidráulica Principal Valtra-Valmet 885/985/1280 - Padr,V,2220.08,1942.57,1130.5,5.0220.0547201.0,02_SOHIPREN
alterar,334773046,5.0220.0547202,Bomba Hidráulica Valtra-Valmet 62/65/68/85/86/88/78EL - Prin,N,2054.45,1797.64,1038.7,5.0220.0547202.0,02_SOHIPREN
alterar,334772725,5.0220.0547205,Bomba Hidráulica Principal Valtra-Valmet 880/980/1780 - Padr,V,2063.65,1805.7,1043.8,5.0220.0547205.0,02_SOHIPREN
alterar,349112162,5.5211.L026234.0,MRBO 26 B100.C.C43.L10 - 5.5211.L026234.0,N,1419.55,1242.11,686.8,5.5211.L026234.0,02_SOHIPREN
alterar,349112166,5.5210.L011190.0,"MUI BO 22,5 B101.C106.C105.M105 - 5.5210.L011190.0",N,1329.07,1162.94,636.65,5.5210.L011190.0,02_SOHIPREN
alterar,349112170,5.0220.0548911.0,BOI 19 E5.P.B2/14 B2.L (AMBOS CPOS INVERTIDOS) - 5.0220.0548,N,2036.04,1781.54,1028.5,5.0220.0548911.0,02_SOHIPREN
alterar,349112174,5.0211.L026819.0,BOI 26 E18.C22.A119.D6 - 25-180 BAR - 5.0211.L026819.0,N,1637.32,1432.65,807.5,5.0211.L026819.0,02_SOHIPREN
alterar,349112178,5.0211.L026849.0,BOI 26 E18.C22.A119.D11- 25-000 BAR (NEW HOLLAND) - 5.0211.L,N,1529.96,1338.72,748.0,5.0211.L026849.0,02_SOHIPREN
alterar,349112182,5.0211.L027018.0,BOI 25 B107.B20.B118.L - 5.0211.L027018.0,N,1329.07,1162.94,636.65,5.0211.L027018.0,02_SOHIPREN
alterar,349112186,5.1301.0565055.0,BOMBA APLICACION CNH A-048 (47441313) GIRO I (PROTOTIPO) - 5,N,4724.4,4133.86,2518.55,5.1301.0565055.0,02_SOHIPREN
alterar,349112190,5.1301.0565054.0,BOMBA APLICACION CNH A-047 (47439228) GIRO D (PROTOTIPO) - 5,N,4443.76,3888.29,2363.0,5.1301.0565054.0,02_SOHIPREN
alterar,334771994,5.1301.0565008,Bomba Hidráulica Ford New Holland CNH A-008 - Série TB/TS - ,V,4497.44,3935.26,2392.75,5.1301.0565008.0,02_SOHIPREN
