resultado,tiny_id,codigo,detalhe
alterar-ok,349112148,5.1302.0565120.0,R$1969.41 custo R$1147.50
alterar-ok,334772995,5.0220.0548836,R$2063.34 custo R$1207.00
alterar-ok,334773084,5.0220.0548817,R$1600.39 custo R$913.75
alterar-ok,334772856,5.1302.0565053,R$2734.28 custo R$1632.00
alterar-ok,334771752,5.0220.0548824-2,R$1942.57 custo R$1130.50
alterar-ok,349112152,5.0220.0548917.0,R$1942.57 custo R$1130.50
alterar-ok,349112156,5.0220.L026997.0,R$2935.56 custo R$1759.50
alterar-ok,334772687,5.0220.0547201,R$1942.57 custo R$1130.50
alterar-ok,334773046,5.0220.0547202,R$1797.64 custo R$1038.70
alterar-ok,334772725,5.0220.0547205,R$1805.70 custo R$1043.80
alterar-ok,349112162,5.5211.L026234.0,R$1242.11 custo R$686.80
alterar-ok,349112166,5.5210.L011190.0,R$1162.94 custo R$636.65
alterar-ok,349112170,5.0220.0548911.0,R$1781.54 custo R$1028.50
alterar-ok,349112174,5.0211.L026819.0,R$1432.65 custo R$807.50
alterar-ok,349112178,5.0211.L026849.0,R$1338.72 custo R$748.00
alterar-ok,349112182,5.0211.L027018.0,R$1162.94 custo R$636.65
alterar-ok,349112186,5.1301.0565055.0,R$4133.86 custo R$2518.55
alterar-ok,349112190,5.1301.0565054.0,R$3888.29 custo R$2363.00
alterar-ok,334771994,5.1301.0565008,R$3935.26 custo R$2392.75
alterar-ok,334772037,5.1301.0565017,R$3935.26 custo R$2392.75
alterar-ok,334772959,5.1301.0565004,R$2660.47 custo R$1585.25
alterar-ok,334772889,5.1301.0565001,R$2660.47 custo R$1585.25
alterar-ok,334772922,5.1301.0565002,R$2660.47 custo R$1585.25
alterar-ok,334772081,5.1301.0565035,R$4176.80 custo R$2545.75
alterar-ok,334773088,5.1301.0565029,R$2821.50 custo R$1687.25
alterar-ok,349112194,5.0210.L026250.0,R$1399.11 custo R$786.25
alterar-ok,349112199,5.0209.L026780.0,R$1358.85 custo R$760.75
alterar-ok,349112203,5.1621.0670036.1,R$2556.49 custo R$1519.38
alterar-ok,349112207,5.1621.0670037.1,R$2190.42 custo R$1287.50
alterar-ok,349112211,5.1621.0670038.1,R$2470.87 custo R$1465.15
alterar-ok,349112216,5.1621.0670039.1,R$2479.32 custo R$1470.50
alterar-ok,349112220,5.1621.0670040.1,R$2586.67 custo R$1538.50
alterar-ok,334773101,5.1305.0565077,R$2924.82 custo R$1752.70
alterar-ok,334772644,5.1305.0565071,R$3042.91 custo R$1827.50
alterar-ok,349112224,5.1305.0565094.0,R$1311.88 custo R$731.00
alterar-ok,334772399,5.1305.0565036,R$1510.48 custo R$856.80
alterar-ok,349112228,5.1305.0565032.0,R$2218.99 custo R$1305.60
alterar-ok,349112232,5.1305.0565115.0,R$2283.40 custo R$1346.40
alterar-ok,349112236,5.1302.0565086.0,R$1900.97 custo R$1104.15
alterar-ok,349112240,5.1302.0565087.0,R$1900.97 custo R$1104.15
alterar-ok,349112244,5.1302.0565088.0,R$1900.97 custo R$1104.15
alterar-ok,349112248,5.1302.0565089.0,R$1900.97 custo R$1104.15
alterar-ok,349112252,5.1302.L027041.0,R$1900.97 custo R$1104.15
alterar-ok,334773059,5.0220.0547207,R$1942.57 custo R$1130.50
alterar-ok,334773066,5.0220.0547216,R$2486.03 custo R$1474.75
alterar-ok,334772840,5.1302.0547844,R$2016.37 custo R$1177.25
alterar-ok,334772822,5.1302.0547820,R$2076.76 custo R$1215.50
alterar-ok,334773042,5.0203.0540803,R$1432.65 custo R$807.50
alterar-ok,349112256,5.0220.L025598.0,R$2096.88 custo R$1228.25
alterar-ok,334772760,5.0220.0547206,R$1942.57 custo R$1130.50
alterar-ok,339174230,GR141207,R$6594.15 custo R$4100.00
alterar-ok,339174256,GR141165,R$1500.84 custo R$890.00
alterar-ok,339174287,GR140990-20M,R$1830.32 custo R$1097.00
alterar-ok,339174280,GR140990-30M,R$1830.32 custo R$1097.00
alterar-ok,339174300,GR140682,R$977.63 custo R$590.00
alterar-ok,339174322,GR140012,R$818.47 custo R$490.00
alterar-ok,339174342,GR142398,R$12217.59 custo R$7700.00
alterar-ok,339174367,GR142226,R$500.13 custo R$290.00
alterar-ok,339174391,GR142227,R$531.95 custo R$310.00
alterar-ok,339174408,GR142228,R$611.53 custo R$360.00
alterar-ok,339174425,GR142229,R$261.35 custo R$140.00
alterar-ok,339174463,ACX3266690,R$185.83 custo R$100.96
alterar-ok,339174529,ACW0551840,R$17.93 custo R$9.15
alterar-ok,355457350,ACW0551840-KIT25,R$448.31 custo R$228.75
alterar-ok,355457358,ACX2865730-KIT60,R$1115.99 custo R$601.20
